0 1.29625e-05
0.00589562 1.36345e-05
0.0117912 1.5861e-05
0.0176869 2.03423e-05
0.0235825 2.74769e-05
0.0294781 3.64493e-05
0.0353737 4.61173e-05
0.0412694 5.53316e-05
0.047165 6.29411e-05
0.0530606 6.81107e-05
0.0589562 7.1281e-05
0.0648519 7.3238e-05
0.0707475 7.4774e-05
0.0766431 7.66844e-05
0.0825387 7.95874e-05
0.0884344 8.3391e-05
0.09433 8.78122e-05
0.100226 9.25652e-05
0.106121 9.73628e-05
0.112017 0.000101977
0.117912 0.000106443
0.123808 0.000110855
0.129704 0.000115319
0.135599 0.000119935
0.141495 0.00012476
0.147391 0.00012968
0.153286 0.000134532
0.159182 0.00013915
0.165077 0.000143375
0.170973 0.000147076
0.176869 0.000150256
0.182764 0.000152961
0.18866 0.000155225
0.194556 0.000157102
0.200451 0.000158634
0.206347 0.000159886
0.212242 0.000160929
0.218138 0.000161819
0.224034 0.000162641
0.229929 0.000163433
0.235825 0.000164169
0.241721 0.000164833
0.247616 0.000165407
0.253512 0.000165858
0.259407 0.000166165
0.265303 0.000166318
0.271199 0.000166304
0.277094 0.000166116
0.28299 0.00016574
0.288886 0.000165176
0.294781 0.000164445
0.300677 0.000163499
0.306572 0.000162381
0.312468 0.000161084
0.318364 0.000159615
0.324259 0.000157972
0.330155 0.000156145
0.336051 0.000154126
0.341946 0.000151913
0.347842 0.000149496
0.353737 0.000146865
0.359633 0.000144009
0.365529 0.000140914
0.371424 0.000137572
0.37732 0.00013398
0.383216 0.000130195
0.389111 0.000126289
0.395007 0.00012233
0.400902 0.00011839
0.406798 0.000114534
0.412694 0.000110811
0.418589 0.000107264
0.424485 0.000103937
0.430381 0.000100874
0.436276 9.80884e-05
0.442172 9.5475e-05
