data_0,data_1,data_2,Points_0,Points_1,Points_2
0,0,0,0,0,0.02565
0,0,0,5.0625e-05,0,0.02565
0,0,0,0.00010125,0,0.02565
0,0,0,0.000151875,0,0.02565
0,0,0,0.0002025,0,0.02565
0,0,0,0.000253125,0,0.02565
0,0,0,0.00030375,0,0.02565
0,0,0,0.000354375,0,0.02565
0,0,0,0.000405,0,0.02565
0,0,0,0.000455625,0,0.02565
0,0,0,0.00050625,0,0.02565
0,0,0,0.000556875,0,0.02565
0,0,0,0.0006075,0,0.02565
0,0,0,0.000658125,0,0.02565
0,0,0,0.00070875,0,0.02565
0,0,0,0.000759375,0,0.02565
0,0,0,0.00081,0,0.02565
0,0,0,0.000860625,0,0.02565
0,0,0,0.00091125,0,0.02565
0,0,0,0.000961875,0,0.02565
0,0,0,0.0010125,0,0.02565
0,0,0,0.00106312,0,0.02565
0,0,0,0.00111375,0,0.02565
0,0,0,0.00116437,0,0.02565
0,0,0,0.001215,0,0.02565
0,0,0,0.00126563,0,0.02565
0,0,0,0.00131625,0,0.02565
0,0,0,0.00136688,0,0.02565
0,0,0,0.0014175,0,0.02565
0,0,0,0.00146813,0,0.02565
0,0,0,0.00151875,0,0.02565
0,0,0,0.00156938,0,0.02565
0,0,0,0.00162,0,0.02565
0,0,0,0.00167063,0,0.02565
0,0,0,0.00172125,0,0.02565
0,0,0,0.00177187,0,0.02565
0,0,0,0.0018225,0,0.02565
0,0,0,0.00187312,0,0.02565
0,0,0,0.00192375,0,0.02565
0,0,0,0.00197437,0,0.02565
0,0,0,0.002025,0,0.02565
0,0,0,0.00207563,0,0.02565
0,0,0,0.00212625,0,0.02565
0,0,0,0.00217688,0,0.02565
0,0,0,0.0022275,0,0.02565
0,0,0,0.00227812,0,0.02565
0,0,0,0.00232875,0,0.02565
0,0,0,0.00237938,0,0.02565
0,0,0,0.00243,0,0.02565
0,0,0,0.00248062,0,0.02565
0,0,0,0.00253125,0,0.02565
0,0,0,0.00258188,0,0.02565
0,0,0,0.0026325,0,0.02565
0,0,0,0.00268312,0,0.02565
0,0,0,0.00273375,0,0.02565
0,0,0,0.00278438,0,0.02565
0,0,0,0.002835,0,0.02565
0,0,0,0.00288562,0,0.02565
0,0,0,0.00293625,0,0.02565
0,0,0,0.00298687,0,0.02565
0,0,0,0.0030375,0,0.02565
0,0,0,0.00308813,0,0.02565
0,0,0,0.00313875,0,0.02565
0,0,0,0.00318937,0,0.02565
0,0,0,0.00324,0,0.02565
0,0,0,0.00329063,0,0.02565
0,0,0,0.00334125,0,0.02565
0,0,0,0.00339187,0,0.02565
0,0,0,0.0034425,0,0.02565
0,0,0,0.00349313,0,0.02565
0,0,0,0.00354375,0,0.02565
0,0,0,0.00359437,0,0.02565
0,0,0,0.003645,0,0.02565
0,0,0,0.00369563,0,0.02565
0,0,0,0.00374625,0,0.02565
0,0,0,0.00379688,0,0.02565
0,0,0,0.0038475,0,0.02565
0,0,0,0.00389812,0,0.02565
0,0,0,0.00394875,0,0.02565
0,0,0,0.00399937,0,0.02565
0,0,0,0.00405,0,0.02565
0,0,0,0.00410062,0,0.02565
0,0,0,0.00415125,0,0.02565
0,0,0,0.00420188,0,0.02565
0,0,0,0.0042525,0,0.02565
0,0,0,0.00430313,0,0.02565
0,0,0,0.00435375,0,0.02565
0,0,0,0.00440437,0,0.02565
0,0,0,0.004455,0,0.02565
0,0,0,0.00450562,0,0.02565
0,0,0,0.00455625,0,0.02565
0,0,0,0.00460688,0,0.02565
0,0,0,0.0046575,0,0.02565
0,0,0,0.00470812,0,0.02565
0,0,0,0.00475875,0,0.02565
0,0,0,0.00480937,0,0.02565
0,0,0,0.00486,0,0.02565
0,0,0,0.00491063,0,0.02565
0,0,0,0.00496125,0,0.02565
0,0,0,0.00501188,0,0.02565
0,0,0,0.0050625,0,0.02565
0,0,0,0.00511312,0,0.02565
0,0,0,0.00516375,0,0.02565
0,0,0,0.00521437,0,0.02565
0,0,0,0.005265,0,0.02565
0,0,0,0.00531563,0,0.02565
0,0,0,0.00536625,0,0.02565
0,0,0,0.00541688,0,0.02565
0,0,0,0.0054675,0,0.02565
0,0,0,0.00551812,0,0.02565
0,0,0,0.00556875,0,0.02565
0,0,0,0.00561938,0,0.02565
0,0,0,0.00567,0,0.02565
0,0,0,0.00572063,0,0.02565
0,0,0,0.00577125,0,0.02565
0,0,0,0.00582187,0,0.02565
0,0,0,0.0058725,0,0.02565
0,0,0,0.00592312,0,0.02565
0,0,0,0.00597375,0,0.02565
0,0,0,0.00602438,0,0.02565
0,0,0,0.006075,0,0.02565
